Name,Type,Default,Choices,Description,Config
allowed-media-domains,List,None,,"If set, only media URLs that belong to this domain can<br>be used for multi-modal inputs.",ModelConfig
code-revision,str,None,,"The specific revision to use for the model code on the<br>Hugging Face Hub. It can be a branch name, a tag name,<br>or a commit id. If unspecified, will use the default<br>version.",ModelConfig
config-format,Enum,auto,"'auto', 'hf', 'mistral'","The format of the model config to load:<br>- ""auto"" will try to load the config in hf format if<br>available after trying to load in mistral format.<br>- ""hf"" will load the config in hf format.<br>- ""mistral"" will load the config in mistral format.",ModelConfig
convert,Enum,auto,"auto,classify,embed,none",Convert the model using adapters defined in<br>[vllm.model_executor.models.adapters][]. The most<br>common use case is to adapt a text generation model to<br>be used for pooling tasks.,ModelConfig
disable-cascade-attn,Boolean flag,True,,"Disable cascade attention for V1. While cascade<br>attention does not change the mathematical<br>correctness, disabling it could be useful for<br>preventing potential numerical issues. This defaults<br>to True, so users must opt in to cascade attention by<br>setting this to False. Even when this is set to False,<br>cascade attention will only be used when the heuristic<br>tells that it's beneficial.",ModelConfig
no-disable-cascade-attn,Boolean flag,True,,"Disable cascade attention for V1. While cascade<br>attention does not change the mathematical<br>correctness, disabling it could be useful for<br>preventing potential numerical issues. This defaults<br>to True, so users must opt in to cascade attention by<br>setting this to False. Even when this is set to False,<br>cascade attention will only be used when the heuristic<br>tells that it's beneficial.",ModelConfig
disable-sliding-window,Boolean flag,False,,"Whether to disable sliding window. If True, we will<br>disable the sliding window functionality of the model,<br>capping to sliding window size. If the model does not<br>support sliding window, this argument is ignored.",ModelConfig
no-disable-sliding-window,Boolean flag,False,,"Whether to disable sliding window. If True, we will<br>disable the sliding window functionality of the model,<br>capping to sliding window size. If the model does not<br>support sliding window, this argument is ignored.",ModelConfig
dtype,Enum,auto,"auto,bfloat16,float,float16,float32,half","Data type for model weights and activations:<br>- ""auto"" will use FP16 precision for FP32 and FP16<br>models, and BF16 precision for BF16 models.<br>- ""half"" for FP16. Recommended for AWQ quantization.<br>- ""float16"" is the same as ""half"".<br>- ""bfloat16"" for a balance between precision and<br>range.<br>- ""float"" is shorthand for FP32 precision.<br>- ""float32"" for FP32 precision.",ModelConfig
enable-cumem-allocator,Boolean flag,False,,Enable the custom cumem allocator to leverage advanced<br>GPU memory allocation features such as multi-node<br>NVLink support.<br>Sleep mode automatically enables this allocator. Only<br>cuda and hip platforms are supported.,ModelConfig
no-enable-cumem-allocator,Boolean flag,False,,Enable the custom cumem allocator to leverage advanced<br>GPU memory allocation features such as multi-node<br>NVLink support.<br>Sleep mode automatically enables this allocator. Only<br>cuda and hip platforms are supported.,ModelConfig
enable-prompt-embeds,Boolean flag,False,,"If `True`, enables passing text embeddings as inputs<br>via the `prompt_embeds` key.<br>WARNING: The vLLM engine may crash if incorrect shape<br>of embeddings is passed. Only enable this flag for<br>trusted users!",ModelConfig
no-enable-prompt-embeds,Boolean flag,False,,"If `True`, enables passing text embeddings as inputs<br>via the `prompt_embeds` key.<br>WARNING: The vLLM engine may crash if incorrect shape<br>of embeddings is passed. Only enable this flag for<br>trusted users!",ModelConfig
enable-return-routed-experts,Boolean flag,False,,Whether to return routed experts.,ModelConfig
no-enable-return-routed-experts,Boolean flag,False,,Whether to return routed experts.,ModelConfig
enable-sleep-mode,Boolean flag,False,,Enable sleep mode for the engine (only cuda and hip<br>platforms are supported).,ModelConfig
no-enable-sleep-mode,Boolean flag,False,,Enable sleep mode for the engine (only cuda and hip<br>platforms are supported).,ModelConfig
enforce-eager,Boolean flag,False,,"Whether to always use eager-mode PyTorch. If True, we<br>will disable CUDA graph and always execute the model<br>in eager mode. If False, we will use CUDA graph and<br>eager execution in hybrid for maximal performance and<br>flexibility.",ModelConfig
no-enforce-eager,Boolean flag,False,,"Whether to always use eager-mode PyTorch. If True, we<br>will disable CUDA graph and always execute the model<br>in eager mode. If False, we will use CUDA graph and<br>eager execution in hybrid for maximal performance and<br>flexibility.",ModelConfig
generation-config,str,auto,,"The folder path to the generation config. Defaults to<br>`""auto""`, the generation config will be loaded from<br>model path. If set to `""vllm""`, no generation config<br>is loaded, vLLM defaults will be used. If set to a<br>folder path, the generation config will be loaded from<br>the specified folder path. If `max_new_tokens` is<br>specified in generation config, then it sets a server-<br>wide limit on the number of output tokens for all<br>requests.",ModelConfig
hf-config-path,str,None,,"Name or path of the Hugging Face config to use. If<br>unspecified, model name or path will be used.",ModelConfig
hf-overrides,dict,{},,"If a dictionary, contains arguments to be forwarded to<br>the Hugging Face config. If a callable, it is called<br>to update the HuggingFace config.",ModelConfig
hf-token,str,None,,"The token to use as HTTP bearer authorization for<br>remote files . If `True`, will use the token generated<br>when running `hf auth login` (stored in<br>`~/.cache/huggingface/token`).",ModelConfig
io-processor-plugin,str,None,,IOProcessor plugin name to load at model startup,ModelConfig
logits-processors,List,None,,One or more logits processors' fully-qualified class<br>names or class definitions,ModelConfig
logprobs-mode,Enum,raw_logprobs,"processed_logits,processed_logprobs,raw_logits,raw_logprobs","Indicates the content returned in the logprobs and<br>prompt_logprobs. Supported mode: 1) raw_logprobs, 2)<br>processed_logprobs, 3) raw_logits, 4)<br>processed_logits. Raw means the values before applying<br>any logit processors, like bad words. Processed means<br>the values after applying all processors, including<br>temperature and top_k/top_p.",ModelConfig
max-logprobs,int,20,,"Maximum number of log probabilities to return when<br>`logprobs` is specified in `SamplingParams`. The<br>default value comes the default for the OpenAI Chat<br>Completions API. -1 means no cap, i.e. all<br>(output_length * vocab_size) logprobs are allowed to<br>be returned and it may cause OOM.",ModelConfig
max-model-len,int,None,,"Model context length (prompt and output). If<br>unspecified, will be automatically derived from the<br>model config.<br>When passing via `--max-model-len`, supports<br>k/m/g/K/M/G in human-readable format. Examples:<br>- 1k -> 1000<br>- 1K -> 1024<br>- 25.6k -> 25,600<br>- -1 or 'auto' -> Automatically choose the maximum<br>model length that fits in GPU memory. This will use<br>the model's maximum context length if it fits,<br>otherwise it will find the largest length that can be<br>accommodated.<br>Parse human-readable integers like '1k', '2M', etc.<br>Including decimal values with decimal multipliers.<br>Also accepts -1 or 'auto' as a special value for auto-<br>detection.<br>    Examples:<br>    - '1k' -> 1,000<br>    - '1K' -> 1,024<br>    - '25.6k' -> 25,600<br>    - '-1' or 'auto' -> -1 (special value for auto-<br>detection)",ModelConfig
model,str,Qwen/Qwen3-0.6B,,Name or path of the Hugging Face model to use. It is<br>also used as the content for `model_name` tag in<br>metrics output when `served_model_name` is not<br>specified.,ModelConfig
model-impl,Enum,auto,"'auto', 'terratorch', 'transformers', 'vllm'","Which implementation of the model to use:<br>- ""auto"" will try to use the vLLM implementation, if<br>it exists, and fall back to the Transformers<br>implementation if no vLLM implementation is available.<br>- ""vllm"" will use the vLLM model implementation.<br>- ""transformers"" will use the Transformers model<br>implementation.<br>- ""terratorch"" will use the TerraTorch model<br>implementation.",ModelConfig
override-attention-dtype,str,None,,Override dtype for attention,ModelConfig
override-generation-config,dict,{},,"Overrides or sets generation config. e.g.<br>`{""temperature"": 0.5}`. If used with `--generation-<br>config auto`, the override parameters will be merged<br>with the default config from the model. If used with<br>`--generation-config vllm`, only the override<br>parameters are used.<br>Should either be a valid JSON string or JSON keys<br>passed individually.",ModelConfig
pooler-config,dict (PoolerConfig),None,,Pooler config which controls the behaviour of output<br>pooling in pooling models.<br>API docs: https://docs.vllm.ai/en/latest/api/vllm/conf<br>ig/#vllm.config.PoolerConfig<br>Should either be a valid JSON string or JSON keys<br>passed individually.,ModelConfig
quantization,str,None,,"Method used to quantize the weights. If `None`, we<br>first check the `quantization_config` attribute in the<br>model config file. If that is `None`, we assume the<br>model weights are not quantized and use `dtype` to<br>determine the data type of the weights.",ModelConfig
quantization-config,dict (QuantizationConfigArgs),None,,"User-facing quantization configuration. Carries per-<br>layer-kind specs (linear, moe) and ignore patterns;<br>see :class:`QuantizationConfigArgs`. Auto-populated<br>from the matching online shorthand when `quantization`<br>is one of the values in<br>`ONLINE_QUANT_SHORTHAND_NAMES`.<br>API docs: https://docs.vllm.ai/en/latest/api/vllm/conf<br>ig/#vllm.config.QuantizationConfigArgs<br>Should either be a valid JSON string or JSON keys<br>passed individually.",ModelConfig
renderer-num-workers,int,1,,"Number of worker threads in the renderer thread pool.<br>The pool is consumed by the async renderer path (e.g.<br>the OpenAI-compatible API server started by `vllm<br>serve`) to parallelize tokenization, chat template<br>rendering, and multimodal preprocessing across<br>concurrent requests.<br>The offline `LLM` entrypoint uses the synchronous<br>renderer path and processes prompts (including<br>multimodal preprocessing) serially, so this setting<br>has no effect there.",ModelConfig
revision,str,None,,"The specific model version to use. It can be a branch<br>name, a tag name, or a commit id. If unspecified, will<br>use the default version.",ModelConfig
runner,Enum,auto,"auto,draft,generate,pooling","The type of model runner to use. Each vLLM instance<br>only supports one model runner, even if the same model<br>can be used for multiple types.",ModelConfig
seed,int,0,,"Random seed for reproducibility.<br>We must set the global seed because otherwise,<br>different tensor parallel workers would sample<br>different tokens, leading to inconsistent results.",ModelConfig
served-model-name,List,None,,"The model name(s) used in the API. If multiple names<br>are provided, the server will respond to any of the<br>provided names. The model name in the model field of a<br>response will be the first name in this list. If not<br>specified, the model name will be the same as the<br>`--model` argument. Noted that this name(s) will also<br>be used in `model_name` tag content of prometheus<br>metrics, if multiple names provided, metrics tag will<br>take the first one.",ModelConfig
skip-tokenizer-init,Boolean flag,False,,Skip initialization of tokenizer and detokenizer.<br>Expects valid `prompt_token_ids` and `None` for prompt<br>from the input. The generated output will contain<br>token ids.,ModelConfig
no-skip-tokenizer-init,Boolean flag,False,,Skip initialization of tokenizer and detokenizer.<br>Expects valid `prompt_token_ids` and `None` for prompt<br>from the input. The generated output will contain<br>token ids.,ModelConfig
tokenizer,str,None,,"Name or path of the Hugging Face tokenizer to use. If<br>unspecified, model name or path will be used.",ModelConfig
tokenizer-mode,Enum,auto,"'auto', 'deepseek_v32', 'deepseek_v4', 'hf', 'mistral', 'slow'","Tokenizer mode:<br>- ""auto"" will use the tokenizer from `mistral_common`<br>for Mistral models if available, otherwise it will use<br>the ""hf"" tokenizer.<br>- ""hf"" will use the fast tokenizer if available.<br>- ""slow"" will always use the slow tokenizer.<br>- ""mistral"" will always use the tokenizer from<br>`mistral_common`.<br>- ""deepseek_v32"" will always use the tokenizer from<br>`deepseek_v32`.<br>- ""deepseek_v4"" will always use the tokenizer from<br>`deepseek_v4`.<br>- ""qwen_vl"" will always use the tokenizer from<br>`qwen_vl`.<br>- Other custom values can be supported via plugins.<br>To swap the Rust BPE backend that powers HF fast<br>tokenizers for the<br>[fastokens](https://github.com/crusoecloud/fastokens)<br>implementation, set `VLLM_USE_FASTOKENS=1` instead —<br>that override applies to any mode that loads an HF<br>fast tokenizer (`hf`, `deepseek_v32`, `deepseek_v4`,<br>`qwen_vl`, …).",ModelConfig
tokenizer-revision,str,None,,"The specific revision to use for the tokenizer on the<br>Hugging Face Hub. It can be a branch name, a tag name,<br>or a commit id. If unspecified, will use the default<br>version.",ModelConfig
trust-remote-code,Boolean flag,False,,"Trust remote code (e.g., from HuggingFace) when<br>downloading the model and tokenizer.",ModelConfig
no-trust-remote-code,Boolean flag,False,,"Trust remote code (e.g., from HuggingFace) when<br>downloading the model and tokenizer.",ModelConfig
use-fp64-gumbel,Boolean flag,False,,Whether to use FP64 (instead of FP32) for the Gumbel<br>noise used by the sampler. FP64 reduces the chance of<br>ties in Gumbel-max sampling at the cost of<br>significantly lower kernel throughput on most GPUs.,ModelConfig
no-use-fp64-gumbel,Boolean flag,False,,Whether to use FP64 (instead of FP32) for the Gumbel<br>noise used by the sampler. FP64 reduces the chance of<br>ties in Gumbel-max sampling at the cost of<br>significantly lower kernel throughput on most GPUs.,ModelConfig
task,PoolingTask | None,None,,The task used for pooling.,PoolerConfig
pooling_type,SequencePoolingType | TokenPoolingType | None,None,,The pooling method used for pooling.,PoolerConfig
seq_pooling_type,SequencePoolingType | None,None,,The pooling method used for sequence pooling.,PoolerConfig
tok_pooling_type,TokenPoolingType | None,None,,The pooling method used for tokenwise pooling.,PoolerConfig
use_activation,bool | None,None,,Whether to apply activation function to the pooler outputs.,PoolerConfig
dimensions,int | None,None,,Reduce the dimensions of embeddings if model supports matryoshka representation.,PoolerConfig
enable_chunked_processing,bool,False,,Whether to enable chunked processing for long inputs.,PoolerConfig
max_embed_len,int | None,None,,Maximum input length allowed for embedding generation.,PoolerConfig
logit_mean,float | None,None,,"If provided, subtract this value from classification logits before activation.",PoolerConfig
logit_sigma,float | None,None,,"If provided, divide the classification logits by this value after mean subtraction.",PoolerConfig
step_tag_id,int | None,None,,"If set, only the score corresponding to the step_tag_id in the generated sentence should be returned.",PoolerConfig
returned_token_ids,list[int] | None,None,,A list of indices for the vocabulary dimensions to be extracted.,PoolerConfig
linear,QuantSpec | None,None,,Quantization spec applied to LinearBase layers.,QuantizationConfigArgs
moe,QuantSpec | None,None,,Quantization spec applied to FusedMoE layers.,QuantizationConfigArgs
ignore,list[str],[],,Layers to skip quantization for.,QuantizationConfigArgs
download-dir,str,None,,"Directory to download and load the weights, default to<br>the default cache directory of Hugging Face.",LoadConfig
ignore-patterns,List,['original/**/*'],,"The list of patterns to ignore when loading the model.<br>Default to ""original/**/*"" to avoid repeated loading<br>of llama's checkpoints.",LoadConfig
load-format,str,auto,,"The format of the model weights to load.<br>- ""auto"" will try to load the weights in the<br>safetensors format and fall back to the pytorch bin<br>format if safetensors format is not available.<br>- ""pt"" will load the weights in the pytorch bin<br>format.<br>- ""safetensors"" will load the weights in the<br>safetensors format.<br>- ""instanttensor"" will load the Safetensors weights on<br>CUDA devices using InstantTensor, which enables<br>distributed loading with pipelined prefetching and<br>fast direct I/O.<br>- ""npcache"" will load the weights in pytorch format<br>and store a numpy cache to speed up the loading.<br>- ""dummy"" will initialize the weights with random<br>values, which is mainly for profiling.<br>- ""tensorizer"" will use CoreWeave's tensorizer library<br>for fast weight loading. See the Tensorize vLLM Model<br>script in the Examples section for more information.<br>- ""runai_streamer"" will load the Safetensors weights<br>using Run:ai Model Streamer.<br>- ""runai_streamer_sharded"" will load weights from pre-<br>sharded checkpoint files using Run:ai Model Streamer.<br>- ""bitsandbytes"" will load the weights using<br>bitsandbytes quantization.<br>- ""sharded_state"" will load weights from pre-sharded<br>checkpoint files, supporting efficient loading of<br>tensor-parallel models.<br>- ""gguf"" will load weights from GGUF format files<br>(details specified in https://github.com/ggml-<br>org/ggml/blob/master/docs/gguf.md).<br>- ""mistral"" will load weights from consolidated<br>safetensors files used by Mistral models.<br>- ""modelexpress"" will load weights using ModelExpress.<br>- Other custom values can be supported via plugins.",LoadConfig
model-loader-extra-config,dict,{},,Extra config for model loader. This will be passed to<br>the model loader corresponding to the chosen<br>load_format.,LoadConfig
pt-load-map-location,str,cpu,,"The map location for loading pytorch checkpoint, to<br>support loading checkpoints can only be loaded on<br>certain devices like ""cuda"", this is equivalent to<br>`{"""": ""cuda""}`. Another supported format is mapping<br>from different devices like from GPU 1 to GPU 0:<br>`{""cuda:1"": ""cuda:0""}`. Note that when passed from<br>command line, the strings in dictionary need to be<br>double quoted for json parsing. For more details, see<br>the original doc for `map_location` parameter in<br>[`torch.load`][] parameter.",LoadConfig
safetensors-load-strategy,str,None,,"Specifies the loading strategy for safetensors<br>weights.<br>- None (default): Uses memory-mapped (lazy) loading.<br>When an NFS filesystem is detected and the total<br>checkpoint size fits within 90%% of available RAM,<br>prefetching is enabled automatically.<br>- ""lazy"": Weights are memory-mapped from the file.<br>This enables on-demand loading and is highly efficient<br>for models on local storage. Unlike the default<br>(None), auto-prefetch on NFS is not performed.<br>- ""eager"": The entire file is read into CPU memory<br>upfront before loading. This is recommended for models<br>on network filesystems (e.g., Lustre, NFS) as it<br>avoids inefficient random reads, significantly<br>speeding up model initialization. However, it uses<br>more CPU RAM.<br>- ""prefetch"": Checkpoint files are read into the OS<br>page cache before workers load them, speeding up the<br>model loading phase. Useful on network or high-latency<br>storage.<br>- ""torchao"": Weights are loaded in upfront and then<br>reconstructed into torchao tensor subclasses. This is<br>used when the checkpoint was quantized using torchao<br>and saved using safetensors. Needs `torchao >=<br>0.14.0`.",LoadConfig
safetensors-prefetch-block-size,int,16777216,,"Read size in bytes for each safetensors checkpoint<br>file prefetch.<br>Parse human-readable integers like '1k', '2M', etc.<br>Including decimal values with decimal multipliers.<br>    Examples:<br>    - '1k' -> 1,000<br>    - '1K' -> 1,024<br>    - '25.6k' -> 25,600",LoadConfig
safetensors-prefetch-num-threads,int,8,,Number of worker threads used to prefetch safetensors<br>checkpoint files into the OS page cache when<br>safetensors prefetching is enabled.,LoadConfig
use-tqdm-on-load,Boolean flag,True,,Whether to enable tqdm for showing progress bar when<br>loading model weights.,LoadConfig
no-use-tqdm-on-load,Boolean flag,True,,Whether to enable tqdm for showing progress bar when<br>loading model weights.,LoadConfig
attention-backend,str,None,,"Attention backend to use. Use ""auto"" or None for<br>automatic selection.",AttentionConfig
backend,AttentionBackendEnum | None,None,,The backend to use for weight transfer during RL training.,AttentionConfig
flash_attn_version,"Literal[2, 3, 4] | None",None,,"Force vllm to use a specific flash-attention version (2, 3, or 4).",AttentionConfig
use_prefill_decode_attention,bool,False,,Use separate prefill and decode kernels for attention.,AttentionConfig
flash_attn_max_num_splits_for_cuda_graph,int,32,,Flash Attention max number of splits for CUDA graph decode.,AttentionConfig
tq_max_kv_splits_for_cuda_graph,int,32,,TurboQuant max NUM_KV_SPLITS for CUDA graph decode.,AttentionConfig
use_trtllm_attention,bool | None,None,,"If set to True/False, use or don't use the TRTLLM attention backend in flashinfer.",AttentionConfig
disable_flashinfer_q_quantization,bool,False,,"If set, when using fp8 kv, do not quantize Q to fp8.",AttentionConfig
mla_prefill_backend,MLAPrefillBackendEnum | None,None,,MLA prefill backend to use.,AttentionConfig
use_prefill_query_quantization,bool,False,,"If set, quantize query for attention in prefill.",AttentionConfig
use_fp4_indexer_cache,bool,False,,"If set, use fp4 indexer cache for DeepSeek V3.2 family models.",AttentionConfig
use_non_causal,bool,False,,Whether to use non-causal (bidirectional) attention.,AttentionConfig
flex_attn_block_m,int | None,None,,Triton kernel BLOCK_M tile size for flex attention.,AttentionConfig
flex_attn_block_n,int | None,None,,Triton kernel BLOCK_N tile size for flex attention.,AttentionConfig
flex_attn_q_block_size,int | None,None,,Logical Q block size for the flex attention block mask.,AttentionConfig
flex_attn_kv_block_size,int | None,None,,Logical KV block size for the flex attention block mask.,AttentionConfig
enable-mamba-cache-stochastic-rounding,Boolean flag,False,,"Enable stochastic rounding when writing SSM state to<br>fp16 cache. Uses random bits to unbias the rounding<br>error, which can improve numerical stability for long<br>sequences.",MambaConfig
no-enable-mamba-cache-stochastic-rounding,Boolean flag,False,,"Enable stochastic rounding when writing SSM state to<br>fp16 cache. Uses random bits to unbias the rounding<br>error, which can improve numerical stability for long<br>sequences.",MambaConfig
mamba-backend,str,MambaBackendEnum.TRITON,,Mamba SSU backend to use.,MambaConfig
mamba-cache-philox-rounds,int,0,,Number of Philox PRNG rounds for stochastic rounding<br>random number generation. 0 uses the Triton default.<br>Higher values improve randomness quality at the cost<br>of compute.,MambaConfig
